,ID,Відправлення,Прибуття,Маса,Обєм,Відстань,Вартість,Спосіб,Безготівковий,ПДВ,Час,Транспорт
0,415087057,Чорноморськ (Іллічівськ),Новомосковськ,15.0,100.0,520.48,15000.0,0.0,0,0,1,Зерновоз
1,414586695,Короп,Кривий Ріг,22.0,86.0,525.27,13000.0,1.0,0,0,1,Тент
2,414613875,Кролевець,Кривий Ріг,22.0,86.0,532.79,13000.0,1.0,0,0,1,Тент
3,415087239,Кривий Ріг,Дніпро,97.0,86.0,146.01,6000.0,1.0,1,1,0,Тент
4,415087407,Хацьки,Красногірка,10.2,45.0,294.13,7500.0,1.0,1,1,0,Тент
5,415039045,Кременчук,Харків,2.5,40.0,251.61,3300.0,1.0,0,0,0,Крита
6,415087403,Кам’янське (Дніпродзержинськ),Кривий Ріг,22.0,86.0,127.07,5500.0,1.0,1,1,1,Тент
7,415087387,Власівка,Суми,21.0,86.0,300.56,9000.0,1.0,1,1,0,Тент
8,415087379,Черкаси,Хацьки,22.0,86.0,23.01,3500.0,1.0,1,1,0,Тент
9,415087577,Львів,Херсон,1.5,2.0,854.73,3000.0,1.0,0,0,1,Тент
10,415087587,Малин,Харків,3.5,7.0,576.27,4500.0,1.0,0,0,0,Тент
11,414974657,Пісочин,Луцьк,3.5,15.0,858.31,3000.0,1.0,0,0,1,Крита
12,414865883,Кременчук,Краматорськ,20.0,20.0,404.07,3000.0,0.0,0,0,0,Тент
13,414879335,Хацьки,Біла Церква,16.0,70.0,175.55,8000.0,1.0,0,0,1,Зерновоз
14,414718363,Одеса,Долинська,16.0,100.0,319.38,9600.0,1.0,0,0,1,Зерновоз
15,414718463,Біла Церква,Долинська,16.0,100.0,361.38,9600.0,1.0,0,0,1,Зерновоз
16,414718203,Тараща,Долинська,16.0,100.0,281.35,9600.0,1.0,0,0,1,Зерновоз
17,415088083,Дніпро,Івано-Франківськ,20.0,120.0,909.42,20000.0,1.0,0,0,1,Тент
18,415088067,Рівне,Херсон,1.2,11.0,761.02,2400.0,1.0,0,0,1,Крита
19,414865477,Зоря,Золотоноша,20.0,86.0,501.73,9500.0,1.0,1,1,0,Крита
20,414704409,Одеса,Житомир,22.0,86.0,501.84,9000.0,1.0,1,1,0,Крита
21,414881759,Одеса,Житомир,22.0,86.0,501.84,9000.0,1.0,1,1,0,Крита
22,414704267,Узин,Харків,22.0,86.0,491.61,12000.0,1.0,1,1,0,Крита
23,415089057,Харків,Київ,0.3,39.0,470.93,4000.0,1.0,1,0,0,Тент
24,415009899,Запоріжжя,Бахмут (Артемівськ),3.5,30.0,270.56,4500.0,1.0,0,0,1,Цільномет
25,404721981,Тарашани,Львів,21.5,86.0,286.0,6300.0,1.0,0,0,1,Тент
